Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,-9999
Mike Edwards,5-10,205,,,,,,,EdwaMi01,3,99,TAM,S,23,2022.0,0,0,1,13.0,13.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,7.0,2.0,EdwaMi01
Emeke Egbule,6-2,245,4.65,33.0,20.0,119.0,7.38,4.38,EgbuEm00,6,200,LAC,LB,22,2021.0,0,0,0,2.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,,EgbuEm00
Bobby Evans,6-4,312,5.2,,22.0,,,,EvanBo00,3,97,LAR,T,22,2022.0,0,0,0,7.0,7.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,EvanBo00
Noah Fant,6-4,249,4.5,39.5,20.0,127.0,6.81,4.22,FantNo00,1,20,DEN,TE,21,2022.0,0,0,4,18.0,14.0,64.0,0.0,0.0,0.0,0.0,0.0,3.0,-12.0,0.0,220.0,2391.0,14.0,2.0,,,FantNo00
Rashad Fenton,5-11,193,4.52,34.0,12.0,117.0,,4.25,FentRa00,6,201,KAN,CB,22,2022.0,0,0,0,7.0,7.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,2.0,,FentRa00
Clelin Ferrell,6-4,264,,,25.0,,7.26,4.4,FerrCl00,1,4,OAK,DE,22,2022.0,0,0,2,12.0,12.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,,10.0,FerrCl00
Ryan Finley,6-4,213,4.73,30.5,,116.0,7.2,4.2,FinlRy00,4,104,CIN,QB,24,2020.0,0,0,0,2.0,2.0,8.0,58.0,119.0,638.0,3.0,4.0,21.0,143.0,1.0,0.0,0.0,0.0,,,,FinlRy00
Cody Ford,6-4,329,5.21,28.5,19.0,104.0,8.27,4.87,FordCo00,2,38,BUF,T,22,2022.0,0,0,1,15.0,13.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,FordCo00
Hjalte Froholdt,6-5,306,5.2,27.5,31.0,105.0,7.51,4.54,FrohHj00,4,118,NWE,G,23,2022.0,0,0,0,3.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,FrohHj00
Travis Fulgham,6-2,215,4.58,36.5,15.0,126.0,,,FulgTr00,6,184,DET,WR,23,2021.0,0,0,1,4.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,539.0,4.0,,,,FulgTr00
Lamont Gaillard,6-3,305,,,,,,,GailLa00,6,179,ARI,C,23,2020.0,0,0,0,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,GailLa00
Greg Gaines,6-1,312,5.16,31.0,30.0,109.0,,,GainGr00,4,134,LAR,DT,23,2022.0,0,0,2,13.0,13.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,,10.5,GainGr00
Rashan Gary,6-4,277,4.58,38.0,26.0,120.0,7.26,4.29,GaryRa00,1,12,GNB,LB,21,2022.0,0,0,2,15.0,15.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,,22.5,GaryRa00
Myles Gaskin,5-9,205,4.58,35.5,24.0,118.0,7.19,4.27,GaskMy00,7,234,MIA,RB,22,2022.0,0,0,1,13.0,13.0,38.0,0.0,0.0,0.0,0.0,0.0,361.0,1355.0,7.0,101.0,701.0,6.0,,,,GaskMy00
Matt Gay,6-0,232,,,,,,,GayxMa00,5,145,TAM,K,25,2022.0,0,1,1,14.0,3.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,GayxMa00
Zach Gentry,6-8,265,4.9,29.5,12.0,110.0,7.4,4.53,GentZa00,5,141,PIT,TE,22,2022.0,0,0,2,2.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,303.0,0.0,1.0,,,GentZa00
Terry Godwin,5-11,184,4.55,36.5,,117.0,6.96,,GodwTe00,7,237,CAR,WR,22,2020.0,0,0,0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,32.0,0.0,,,,GodwTe00
Derwin Gray,6-4,320,5.26,,26.0,90.0,,,GrayDe01,7,219,PIT,T,24,2020.0,0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,GrayDe01
Gerri Green,6-4,252,4.63,35.0,24.0,114.0,7.27,4.42,GreeGe00,6,199,IND,DE,23,2022.0,0,0,0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,GreeGe00
Dre Greenlaw,5-11,237,,33.0,24.0,117.0,,,GreeDr00,5,148,SFO,LB,22,2022.0,0,0,3,22.0,22.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,3.0,2.0,GreeDr00
Will Grier,6-2,217,4.84,34.0,,112.0,7.09,4.28,GrieWi00,3,100,CAR,QB,24,2019.0,0,0,0,1.0,1.0,2.0,28.0,52.0,228.0,0.0,4.0,7.0,22.0,0.0,0.0,0.0,0.0,,,,GrieWi00
Saquan Hampton,6-1,206,4.48,,14.0,125.0,,,HampSa00,6,177,NOR,S,23,2020.0,0,0,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,HampSa00
Mecole Hardman,5-10,187,4.33,36.5,17.0,119.0,,,HardMe00,2,56,KAN,WR,21,2022.0,0,1,0,22.0,22.0,57.0,0.0,0.0,0.0,0.0,0.0,20.0,125.0,2.0,151.0,2088.0,16.0,1.0,,,HardMe00
Kelvin Harmon,6-2,221,4.6,32.5,18.0,117.0,7.15,4.32,HarmKe00,6,206,WAS,WR,22,2019.0,0,0,1,3.0,3.0,16.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,30.0,365.0,0.0,2.0,,,HarmKe00
Damien Harris,5-10,216,4.57,37.0,16.0,121.0,,,HarrDa06,3,87,NWE,RB,22,2022.0,0,0,3,15.0,15.0,38.0,0.0,0.0,0.0,0.0,0.0,449.0,2094.0,20.0,40.0,281.0,0.0,,,,HarrDa06
Will Harris,6-1,207,4.41,36.5,20.0,123.0,6.91,4.12,HarrWi02,3,81,DET,S,23,2022.0,0,0,2,10.0,10.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,1.0,1.5,HarrWi02
N'Keal Harry,6-2,228,4.53,38.5,27.0,122.0,,,HarrNK00,1,32,NWE,WR,21,2022.0,0,0,1,7.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,7.0,49.0,0.0,64.0,714.0,5.0,,,,HarrNK00
Dwayne Haskins,6-3,231,5.04,28.5,,,,,HaskDw00,1,15,WAS,QB,22,2020.0,0,0,0,4.0,4.0,16.0,267.0,444.0,2804.0,12.0,14.0,40.0,147.0,1.0,0.0,0.0,0.0,,,,HaskDw00
Phil Haynes,6-4,322,5.2,31.0,33.0,108.0,7.76,4.95,HaynPh00,4,124,SEA,G,23,2022.0,0,0,0,3.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,HaynPh00
Darrell Henderson,5-8,208,4.49,33.5,22.0,121.0,,,HendDa00,3,70,LAR,RB,22,2022.0,0,0,1,13.0,13.0,50.0,0.0,0.0,0.0,0.0,0.0,396.0,1742.0,13.0,66.0,474.0,4.0,1.0,,,HendDa00
Justice Hill,5-10,198,4.4,40.0,21.0,130.0,,,HillJu00,4,113,BAL,RB,21,2022.0,0,0,0,6.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,119.0,547.0,2.0,25.0,148.0,0.0,12.0,,,HillJu00
Trysten Hill,6-3,308,5.04,35.0,28.0,115.0,7.7,4.38,HillTr00,2,58,DAL,DT,21,2022.0,0,0,0,5.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,,1.5,HillTr00
T.J. Hockenson,6-5,251,4.7,37.5,17.0,123.0,7.02,4.18,HockTJ00,1,8,DET,TE,22,2022.0,0,2,2,21.0,17.0,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,246.0,2587.0,18.0,2.0,,,HockTJ00
Justin Hollins,6-5,248,4.5,36.5,25.0,119.0,7.06,4.4,HollJu00,5,156,DEN,LB,23,2022.0,0,0,0,8.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,,9.5,HollJu00
Travis Homer,5-10,201,4.48,39.5,17.0,130.0,7.07,4.31,HomeTr00,6,204,SEA,RB,21,2022.0,0,0,0,8.0,8.0,49.0,0.0,0.0,0.0,0.0,0.0,83.0,453.0,1.0,52.0,464.0,2.0,16.0,,,HomeTr00
Amani Hooker,5-11,210,4.48,37.0,14.0,123.0,6.81,4.1,HookAm00,4,116,TEN,S,21,2022.0,0,0,2,10.0,10.0,53.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,6.0,0.0,127.0,6.0,,HookAm00
Tytus Howard,6-5,322,5.05,29.5,21.0,103.0,8.34,4.87,HowaTy00,1,23,HOU,T,23,2022.0,0,0,4,23.0,23.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,HowaTy00
Jalen Hurd,6-5,226,,,23.0,,,,HurdJa00,3,67,SFO,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,HurdJa00
Andy Isabella,5-9,188,4.31,36.5,15.0,121.0,6.95,4.15,IsabAn00,2,62,ARI,WR,22,2022.0,0,0,0,4.0,4.0,41.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,33.0,447.0,3.0,3.0,,,IsabAn00
Joe Jackson,6-4,275,,27.0,22.0,109.0,,,JackJo02,5,165,DAL,DE,22,2021.0,0,0,0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,1.5,JackJo02
Josh Jacobs,5-10,220,,,,,,,JacoJo01,1,24,OAK,RB,21,2022.0,1,2,4,36.0,36.0,60.0,0.0,0.0,0.0,0.0,0.0,1072.0,4740.0,40.0,160.0,1152.0,0.0,3.0,,,JacoJo01
Jalen Jelks,6-5,256,4.92,32.5,19.0,113.0,7.22,4.59,JelkJa00,7,241,DAL,DE,23,,0,0,0,,,,,,,,,,,,,,,,,,JelkJa00
Elgton Jenkins,6-4,310,,28.0,29.0,109.0,7.77,4.62,JenkEl00,2,44,GNB,C,23,2022.0,0,2,3,31.0,31.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,JenkEl00
Darryl Johnson,6-6,253,,,20.0,,,,JohnDa10,7,225,BUF,DE,22,2022.0,0,0,0,4.0,3.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,,2.0,JohnDa10
Diontae Johnson,5-10,183,4.53,33.5,15.0,123.0,7.09,4.45,JohnDi01,3,66,PIT,WR,23,2022.0,0,1,4,28.0,28.0,64.0,0.0,0.0,0.0,0.0,0.0,19.0,134.0,0.0,340.0,3646.0,20.0,2.0,,,JohnDi01
Isaiah Johnson,6-2,208,4.4,36.5,,133.0,6.81,4.06,JohnIs02,4,129,OAK,CB,23,2020.0,0,0,0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,,JohnIs02
Jaquan Johnson,5-10,191,4.69,33.0,18.0,121.0,,,JohnJa11,6,181,BUF,CB,23,2022.0,0,0,0,5.0,5.0,60.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,,JohnJa11
Daniel Jones,6-5,221,4.81,33.5,,120.0,7.0,4.41,JoneDa05,1,6,NYG,QB,22,2022.0,0,0,4,38.0,38.0,54.0,1113.0,1740.0,11603.0,60.0,34.0,292.0,1708.0,12.0,1.0,16.0,0.0,,,,JoneDa05
