Player,Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Noah Sewell,LB,6-2,246,4.64,33.0,27,115,,,SeweNo00
Justin Shorter,WR,6-4,229,4.55,35.5,18,126,,,ShorJu00
Nesta Jade Silvera,DT,6-2,304,5.16,29.5,,110,,,-9999
Trenton Simpson,LB,6-2,235,4.43,,25,,,,SimpTr00
JL Skinner,DB,6-4,209,,,,,,,SkinJL00
Peter Skoronski,OT,6-4,313,5.16,34.5,,115,7.80,,SkorPe00
Terell Smith,CB,6-1,204,4.41,34.0,14,120,7.02,4.30,-9999
Cam Smith,CB,6-1,180,4.43,38.0,,134,,,SmitCa02
Christopher Smith,DB,5-11,192,4.62,33.0,15,116,,,SmitCh04
Mazi Smith,DT,6-3,323,,,34,,,,SmitMa06
Nolan Smith,EDGE,6-2,238,4.39,41.5,,128,,,SmitNo02
Jaxon Smith-Njigba,WR,6-1,196,,35.0,,125,6.57,3.93,SmitJa06
Sidy Sow,OG,6-5,323,5.07,32.0,,110,7.62,4.69,-9999
Tyjae Spears,RB,5-10,201,,39.0,,125,,,SpeaTy00
Tyler Steen,OT,6-6,321,,29.5,,109,,4.59,SteeTy00
Tyrique Stevenson,CB,6-0,198,4.45,38.5,,125,7.09,4.41,StevTy01
Dante Stills,DT,6-4,286,4.85,28.5,20,113,7.38,4.61,StilDa01
Brenton Strange,TE,6-4,253,,36.0,23,124,7.25,4.46,StraBr00
Ricky Stromberg,C,6-3,306,5.26,32.5,,111,,,StroRi01
C.J. Stroud,QB,6-3,214,,,,,,,StroCJ00
Leonard Taylor,TE,6-5,250,,,,,,,-9999
Noah Taylor,EDGE,6-4,238,,,22,,,,TaylNo00
Charlie Thomas,LB,6-3,216,4.52,32.5,18,124,7.09,4.34,ThomCh02
Tavion Thomas,RB,6-0,237,4.74,30.0,,118,,,ThomTa03
SaRodorick Thompson,RB,6-0,207,4.67,32.5,,120,7.25,4.70,-9999
Dorian Thompson-Robinson,QB,6-2,203,4.56,32.5,,121,7.28,4.44,ThomDo02
Cedric Tillman,WR,6-3,213,4.54,37.0,,128,,,TillCe01
Mitchell Tinsley,WR,6-0,199,4.60,35.5,14,120,,4.21,TinsMi00
Joe Tippmann,C,6-6,313,,,,,,,TippJo00
Henry To'oTo'o,LB,6-1,227,4.62,32.0,,116,,4.40,TooTHe00
O'Cyrus Torrence,OG,6-5,330,5.31,23.5,,101,,4.81,TorrOC00
Cory Trice,CB,6-3,206,4.47,35.5,17,132,,,TricCo00
Sean Tucker,RB,5-9,207,,,,,,,TuckSe00
Tre Tucker,WR,5-9,182,4.40,37.5,,124,,,TuckTr00
Tuli Tuipulotu,EDGE,6-3,266,,,,,,,TuipTu00
Clayton Tune,QB,6-3,220,4.64,37.5,,122,6.89,4.25,TuneCl00
Michael Turk,P,6-0,227,4.83,34.0,,109,,,-9999
DJ Turner,CB,5-11,178,4.26,38.5,,131,,,TurnDJ01
Carrington Valentine,CB,6-0,193,,39.0,9,128,,,ValeCa00
Deuce Vaughn,RB,5-5,179,,35.5,,116,,,VaugDe00
Travis Vokolek,TE,6-6,259,,,20,115,,,VokoTr00
Andrew Vorhees,OG,6-6,310,,29.0,,105,,,VorhAn00
Dalton Wagner,OT,6-8,320,,24.5,,102,,,WagnDa00
Alex Ward,LS,6-4,240,5.06,30.0,12,114,,4.46,WardAl00
Jay Ward,CB,6-1,188,4.55,34.5,16,132,,,WardJa00
Carter Warren,OT,6-6,311,,,,,,,WarrCa00
Darnell Washington,TE,6-7,264,,31.0,21,122,,4.08,WashDa03
Parker Washington,WR,5-10,204,,,16,,,,WashPa01
Jalen Wayne,WR,6-2,210,4.51,34.5,,124,,,WaynJa00
Tyrus Wheat,EDGE,6-2,263,4.65,28.5,,113,,4.54,WheaTy02
Keion White,EDGE,6-5,285,,34.0,30,117,,,WhitKe03
Blake Whiteheart,TE,6-4,247,,35.5,20,115,,,WhitBl01
Josh Whyle,TE,6-7,248,,33.5,,115,,,WhylJo01
Dontayvion Wicks,WR,6-1,206,4.62,39.0,,130,,,WickDo00
Dorian Williams,LB,6-1,228,4.49,33.5,,120,,,WillDo04
Garrett Williams,CB,5-10,192,,,,,,,WillGa00
Brayden Willis,TE,6-4,241,,32.0,20,117,7.30,4.36,WillBr06
Michael Wilson,WR,6-2,213,4.58,37.5,23,125,,4.27,WilsMi02
Tyree Wilson,EDGE,6-6,271,,,23,,,,WilsTy01
Dee Winters,LB,5-11,227,4.49,30.5,,117,,,WintDe00
Devon Witherspoon,CB,6-0,181,,,,,,,WithDe00
Colby Wooden,DE,6-4,273,4.79,,23,115,,4.52,WoodCo01
Darnell Wright,OT,6-5,333,5.01,29.0,,114,,,WrigDa00
Rejzohn Wright,CB,6-2,193,,,,,,,WrigRe00
Luke Wypler,C,6-3,303,5.14,30.5,,106,7.64,4.53,WyplLu00
Bryce Young,QB,5-10,204,,,,,,,YounBr01
Byron Young,DT,6-3,294,,26.0,24,108,7.68,,YounBy00
Byron Young,EDGE,6-2,250,4.43,38.0,22,132,7.19,,YounBy01
Cameron Young,DT,6-3,304,5.10,,,,,,YounCa00
