Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Jaylon Johnson,6-0,193,4.50,36.5,15,124,7.01,4.13,JohnJa13
Juwan Johnson,6-4,230,4.58,33.0,14,124,6.94,4.37,JohnJu02
Tyler Johnson,6-1,206,,,,,,,JohnTy00
Clay Johnston,6-1,227,,,18,,,,JohnCl00
Benito Jones,6-1,316,5.26,26.5,,,8.21,5.27,JoneBe03
Brandon Jones,5-11,198,,,,,,,JoneBr06
Joshua Jones,6-5,319,5.27,28.5,24,109,,,JoneJo07
Tony Jones,5-10,220,4.68,32.5,13,119,7.18,4.21,JoneTo04
Antoine Brooks Jr.,5-11,220,4.64,34.5,18,,,,BrooAn00
Willie Gay Jr.,6-1,243,4.46,39.5,21,136,7.08,4.30,GayJWi00
Laviska Shenault Jr.,6-1,227,4.58,,17,,,,ShenLa00
Antoine Winfield Jr.,5-9,203,4.45,36.0,,124,,,WinfAn00
Azur Kamara,6-3,245,4.59,28.0,13,121,7.20,4.46,KamaAz01
Khalid Kareem,6-4,268,,,,,,,KareKh00
Dalton Keene,6-4,253,4.71,34.0,21,125,7.07,4.19,KeenDa00
Joshua Kelley,5-11,212,4.49,31.0,23,121,6.95,4.28,KellJo01
BoPete Keyes,6-1,202,,36.0,,126,,,KeyeTh00
Solomon Kindley,6-3,337,,,,,,,KindSo00
Javon Kinlaw,6-5,324,,,,,,,KinlJa00
Cole Kmet,6-6,262,4.70,37.0,,123,7.44,4.41,KmetCo00
CeeDee Lamb,6-2,198,4.50,34.5,11,124,,,LambCe00
Javon Leake,6-0,215,4.65,34.0,,125,,,LeakJa01
Benny LeMay,5-8,221,4.75,28.5,24,112,,,LeMaBe00
Shane Lemieux,6-4,310,5.11,25.5,,107,8.13,4.90,LemiSh00
Brian Lewerke,6-2,213,4.95,31.0,,113,7.14,4.40,LeweBr00
Damien Lewis,6-2,327,5.24,30.0,27,108,,,LewiDa05
Terrell Lewis,6-5,262,,37.0,,124,,,LewiTe00
Kalija Lipscomb,6-0,207,4.57,32.0,16,127,,,LipsKa01
Jordan Love,6-4,224,4.74,35.5,,118,7.21,4.52,LoveJo03
Jake Luton,6-6,224,,,,,,,LutoJa00
James Lynch,6-4,289,5.01,29.0,23,111,7.39,4.39,LyncJa00
Austin Mack,6-1,208,4.59,31.5,,117,,4.42,MackAu01
Jordan Mack,6-3,241,,,,,,,MackJo02
Justin Madubuike,6-3,293,4.83,,31,,7.37,,MaduJu00
Braden Mann,5-11,198,4.83,31.0,,111,7.03,4.13,MannBr01
Kamal Martin,6-3,240,,,,,,,MartKa01
Cole McDonald,6-3,215,4.58,36.0,,121,7.13,4.52,McDoCo00
Anthony McFarland,5-8,208,4.44,29.5,,116,,,McFaAn00
Sean McKeon,6-5,242,,,18,,,,McKeSe01
Xavier McKinney,6-0,201,4.63,36.0,19,122,,,McKiXa00
Colton McKivitz,6-6,306,5.35,26.0,20,106,7.87,5.00,McKiCo00
Josh Metellus,5-11,209,4.55,36.5,20,124,6.94,4.40,MeteJo00
Chris Miller,5-11,190,4.61,35.5,12,133,7.09,4.12,MillCh06
Denzel Mims,6-3,207,4.38,38.5,16,131,6.66,4.43,MimsDe00
John Molchon,6-5,309,5.13,34.0,26,109,7.85,4.73,MolcJo01
JJ Molson,5-11,182,,,,,,,MolsJJ01
Steven Montez,6-4,231,4.68,33.0,,117,7.25,4.43,MontSt01
Darnell Mooney,5-10,176,4.38,37.0,9,124,,,MoonDa00
James Morgan,6-4,229,4.89,29.0,,112,7.51,4.64,MorgJa00
Thaddeus Moss,6-2,250,,,,,,,MossTh01
Zack Moss,5-9,223,4.65,33.0,19,,,4.37,MossZa00
Larrell Murchison,6-2,297,5.05,29.0,29,118,7.89,4.51,MurcLa00
Kyle Murphy,6-3,316,5.30,28.0,19,104,7.81,4.68,MurpKy02
Kenneth Murray,6-2,241,4.52,38.0,21,129,,,MurrKe00
Tanner Muse,6-2,227,4.41,34.5,20,124,,,MuseTa00
Netane Muti,6-3,315,,,44,,,,MutiNe00
Lucas Niang,6-6,315,,,,,,,NianLu00
C.J. O'Grady,6-4,253,4.81,34.0,16,119,7.30,4.34,OGraCJ00
Michael Ojemudia,6-1,200,4.45,36.0,,122,6.87,4.21,OjemMi00
Jeff Okudah,6-1,205,4.48,41.0,11,135,,,OkudJe00
Julian Okwara,6-4,252,,,27,,,,OkwaJu00
