Player,Pos,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional
Jester Weah,WR,6-2,211,4.43,38.0,15,129,7.24,4.41,WeahJe01
Toby Weathersby,OT,6-4,317,5.34,24.5,28,106,8.55,5.38,WeatTo00
Damon Webb,S,5-11,195,4.62,,17,,,,WebbDa01
David Wells,TE,6-6,256,4.75,33.0,20,116,7.50,4.59,-9999
Sean Welsh,C,6-3,306,5.43,25.0,20,103,7.90,4.81,WelsSe00
Karaun White,WR,6-1,206,4.52,33.5,24,118,7.16,4.57,-9999
Kyzir White,S,6-2,216,,35.5,21,113,,,WhitKy00
Mike White,QB,6-5,224,5.09,27.0,,96,7.40,4.40,WhitMi01
Jordan Whitehead,S,5-11,195,,,21,,,,WhitJo03
Jojo Wicker,DE,6-3,296,5.16,30.0,25,105,,,WickJo01
Jake Wieneke,WR,6-4,221,4.67,34.0,9,114,7.24,4.37,-9999
Jordan Wilkins,RB,6-1,216,,36.0,16,117,,4.27,WilkJo01
Connor Williams,OT,6-5,296,5.05,34.0,26,112,7.83,4.63,WillCo00
Darrel Williams,RB,6-0,225,4.72,32.0,22,109,,4.21,WillDa10
Eddy Wilson,DT,6-4,301,5.37,,26,96,,,-9999
Cedrick Wilson,WR,6-2,197,4.55,37.0,9,121,6.89,4.23,WilsCe01
Jeff Wilson,RB,5-11,210,,,15,,,,WilsJe01
Javon Wims,WR,6-3,215,4.53,33.5,,113,7.00,,WimsJa00
Anthony Winbush,EDGE,6-1,249,,,25,110,,,-9999
Ryan Winslow,P,6-5,217,,,,,,,WinsRy00
Logan Woodside,QB,6-1,213,4.79,31.5,,103,6.94,4.15,WoodLo00
Chris Worley,ILB,6-2,238,4.86,29.5,15,,,,WorlCh00
Isaiah Wynn,OG,6-3,313,,,,,,,WynnIs00
Isaac Yiadom,CB,6-1,190,4.52,,8,120,,4.18,YiadIs00
Kenny Young,ILB,6-1,236,4.60,36.0,23,117,7.38,4.48,YounKe03
Trevon Young,EDGE,6-4,258,4.78,33.0,25,114,6.99,4.40,YounTr00
