Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos,Age,To,1st_Team_AllPro,Pro_Bowl,Years_As_Starter,Weighted_Aprox_Value,DrAV,G,Pass_Completed,Pass_Attempts,Pass_Yards,Pass_TDs,Interceptions_Thrown,Rush_Attempts,Rush_Yards,Rush_TDs,Receptions,Receiving_Yards,Receiving_Touchdowns,Solo_Tackles,Interceptions,Sack,-9999,Pos_x,Pos_y
James Proche,5-11,201.0,,34.5,20.0,,7.27,4.4,ProcJa00,6,201,BAL,WR,23,2022.0,0,0,0,3.0,3.0,43.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,278.0,0.0,,,,ProcJa00,,
Shaquille Quarterman,6-0,234.0,4.74,31.0,23.0,120.0,,,QuarSh00,4,140,JAX,LB,22,2022.0,0,0,0,3.0,3.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,,,QuarSh00,,
Patrick Queen,6-0,229.0,4.5,35.0,18.0,125.0,,,QueePa00,1,28,BAL,LB,21,2022.0,0,0,3,26.0,26.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,3.0,10.0,QueePa00,,
Jalen Reagor,5-11,206.0,4.47,42.0,17.0,138.0,7.31,4.46,ReagJa00,1,21,PHI,WR,21,2022.0,0,0,2,8.0,7.0,45.0,0.0,0.0,0.0,0.0,0.0,18.0,83.0,0.0,72.0,799.0,4.0,3.0,,,ReagJa00,,
Joe Reed,6-0,224.0,4.47,38.0,21.0,123.0,,,ReedJo03,5,151,LAC,WR,22,2020.0,0,0,0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,29.0,1.0,0.0,0.0,0.0,1.0,,,ReedJo03,,
John Reid,5-10,187.0,4.49,36.5,20.0,129.0,6.95,3.97,ReidJo00,4,141,HOU,CB,24,2022.0,0,0,0,2.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,,,ReidJo00,,
Amik Robertson,5-8,187.0,,,,,,,RobeAm00,4,139,LVR,CB,22,2022.0,0,0,0,4.0,4.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.0,1.0,RobeAm00,,
Alton Robinson,6-3,264.0,4.69,35.5,25.0,119.0,7.32,4.32,RobiAl03,5,148,SEA,DE,22,2021.0,0,0,0,3.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,,5.0,RobiAl03,,
Cesar Ruiz,6-3,307.0,5.08,33.0,28.0,113.0,7.91,4.64,RuizCe00,1,24,NOR,C,21,2022.0,0,0,3,16.0,16.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,RuizCe00,,
Chapelle Russell,6-2,236.0,4.69,35.0,21.0,121.0,7.38,4.41,RussCh00,7,241,TAM,LB,23,2021.0,0,0,0,2.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,RussCh00,,
Josiah Scott,5-9,185.0,4.42,,17.0,,,,ScotJo00,4,137,JAX,CB,21,2022.0,0,0,0,3.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2.0,1.0,ScotJo00,,
Isaiah Simmons,6-4,238.0,4.39,39.0,,132.0,,,SimmIs00,1,8,ARI,LB,22,2022.0,0,0,2,17.0,17.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,4.0,7.5,SimmIs00,,
John Simpson,6-4,321.0,5.24,30.0,34.0,107.0,8.03,4.87,SimpJo00,4,109,LVR,G,23,2022.0,0,0,1,10.0,10.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SimpJo00,,
James Smith-Williams,6-4,265.0,4.6,32.0,28.0,123.0,7.35,4.52,SmitJa08,7,229,WAS,DE,23,2022.0,0,0,1,11.0,11.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,,6.0,SmitJa08,,
L'Jarius Sneed,6-0,192.0,4.37,41.0,12.0,131.0,,,SneeLJ00,4,138,KAN,S,23,2022.0,0,0,2,13.0,13.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,8.0,6.5,SneeLJ00,,
Nate Stanley,6-4,235.0,4.81,28.5,,108.0,7.26,4.48,StanNa00,7,244,MIN,QB,23,,0,0,0,,,,,,,,,,,,,,,,,,StanNa00,,
Logan Stenberg,6-6,317.0,5.3,26.0,,104.0,8.0,4.83,StenLo00,4,121,DET,G,23,2022.0,0,0,0,3.0,3.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,StenLo00,,
Simon Stepaniak,6-4,313.0,,,37.0,,,,StepSi00,6,209,GNB,T,23,,0,0,0,,,,,,,,,,,,,,,,,,StepSi00,,
Geno Stone,5-10,207.0,4.62,33.5,12.0,116.0,,,StonGe00,7,219,BAL,S,21,2022.0,0,0,0,6.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,1.0,,StonGe00,,
Justin Strnad,6-3,238.0,4.74,29.0,,113.0,,4.49,StrnJu00,5,178,DEN,LB,24,2022.0,0,0,0,4.0,4.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,,,StrnJu00,,
Jason Strowbridge,6-4,275.0,4.89,31.0,26.0,113.0,7.45,4.37,StroJa02,5,154,MIA,DE,23,2020.0,0,0,0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,StroJa02,,
Stephen Sullivan,6-5,248.0,4.66,36.5,,123.0,7.51,4.62,SullSt00,7,251,SEA,TE,23,2022.0,0,0,0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.0,0.0,2.0,,,SullSt00,,
Freddie Swain,6-0,197.0,4.46,36.5,16.0,124.0,7.05,4.26,SwaiFr00,6,214,SEA,WR,22,2022.0,0,0,0,5.0,5.0,37.0,0.0,0.0,0.0,0.0,0.0,5.0,32.0,0.0,42.0,576.0,6.0,2.0,,,SwaiFr00,,
D'Andre Swift,5-8,212.0,4.48,35.5,,121.0,,,SwifDA00,2,35,DET,RB,21,2022.0,0,0,0,20.0,20.0,40.0,0.0,1.0,0.0,0.0,0.0,364.0,1680.0,18.0,156.0,1198.0,7.0,,,,SwifDA00,,
Tua Tagovailoa,6-0,217.0,,,,,,,TagoTu00,1,5,MIA,QB,22,2022.0,0,0,3,23.0,23.0,36.0,708.0,1078.0,8015.0,52.0,23.0,101.0,307.0,6.0,0.0,0.0,0.0,,,,TagoTu00,,
Darrell Taylor,6-4,267.0,,,,,,,TaylDa00,2,48,SEA,DE,23,2022.0,0,0,0,6.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,,16.0,TaylDa00,,
Davion Taylor,6-0,228.0,4.49,35.0,21.0,127.0,6.96,4.26,TaylDa01,3,103,PHI,LB,22,2021.0,0,0,0,3.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,,,TaylDa01,,
Jonathan Taylor,5-10,226.0,4.39,36.0,17.0,123.0,7.01,4.24,TaylJo02,2,41,IND,RB,21,2022.0,1,1,3,32.0,32.0,43.0,0.0,0.0,0.0,0.0,0.0,756.0,3841.0,33.0,104.0,802.0,3.0,,,,TaylJo02,,
Andrew Thomas,6-5,315.0,5.22,30.5,21.0,109.0,7.58,4.66,ThomAn02,1,4,NYG,T,21,2022.0,0,0,3,22.0,22.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,7.0,,,ThomAn02,,
Daniel Thomas,5-10,215.0,4.51,37.0,24.0,125.0,,,ThomDa07,5,157,JAX,S,22,2022.0,0,0,0,3.0,3.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,,ThomDa07,,
Stantley Thomas-Oliver,6-0,192.0,4.48,34.0,,127.0,,,ThomSt00,7,221,CAR,CB,22,2022.0,0,0,0,2.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,,ThomSt00,,
Casey Toohill,6-4,250.0,4.62,39.0,17.0,126.0,7.08,4.21,ToohCa00,7,233,PHI,DE,24,2022.0,0,0,0,6.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,,2.0,ToohCa00,,
Adam Trautman,6-5,255.0,4.8,34.5,18.0,114.0,6.78,4.27,TrauAd00,3,105,NOR,TE,23,2022.0,0,0,1,6.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,641.0,4.0,2.0,,,TrauAd00,,
Derrek Tuszka,6-4,251.0,4.79,33.5,24.0,120.0,6.87,4.34,TuszDe00,7,254,DEN,LB,24,2022.0,0,0,0,3.0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,2.0,TuszDe00,,
